# 外国人名の削除候補から外して残す日本人名 (表層形,読み,品詞接頭辞)
#
# scripts/find_foreign_names.py の規則は Unihan の字音と読みを照合して候補を挙げるだけで、
# 日本人名・沖縄やアイヌの姓・当て字の名を取り違えることがある。人手で確かめて日本人名と
# 判断したものをここに書く。読みの旧仮名 (ヲ・ヱ) と大書きの拗音 (ジヨウ) は区別しない。

# ---- 1 文字姓の音読み: 日本の姓として使われているもの
# 実在する日本人のフルネーム (姓 + 訓読みの名) を確かめたもの
コタカ,コタカ,"名詞,固有名詞,人名,名"
コネコ,コネコ,"名詞,固有名詞,人名,名"
シカマル,シカマル,"名詞,固有名詞,人名,名"
スガオ,スガオ,"名詞,固有名詞,人名,名"
スネオ,スネオ,"名詞,固有名詞,人名,名"
セワシ,セワシ,"名詞,固有名詞,人名,名"
タコスケ,タコスケ,"名詞,固有名詞,人名,名"
タヌコ,タヌコ,"名詞,固有名詞,人名,名"
タラオ,タラオ,"名詞,固有名詞,人名,名"
ダイマル,ダイマル,"名詞,固有名詞,人名,名"
ナオコーラ,ナオコーラ,"名詞,固有名詞,人名,名"
ノリヘイ,ノリヘイ,"名詞,固有名詞,人名,名"
ハチゴロウ,ハチゴロウ,"名詞,固有名詞,人名,名"
ハチゴロー,ハチゴロー,"名詞,固有名詞,人名,名"
ピロコ,ピロコ,"名詞,固有名詞,人名,名"
ミミヨ,ミミヨ,"名詞,固有名詞,人名,名"
モチコ,モチコ,"名詞,固有名詞,人名,名"
モミイチ,モミイチ,"名詞,固有名詞,人名,名"
ヨエコ,ヨエコ,"名詞,固有名詞,人名,名"
ラヂヲ,ラヂヲ,"名詞,固有名詞,人名,名"
フジオカ,フジオカ,"名詞,固有名詞,人名,名"
フミエダ,フミエダ,"名詞,固有名詞,人名,名"
マルアキ,マルアキ,"名詞,固有名詞,人名,名"
メアリージュン,メアリージュン,"名詞,固有名詞,人名,名"
カールスモーキー,カールスモーキー,"名詞,固有名詞,人名,名"
