# 外国人名の削除リスト (姓・名)
#
# scripts/find_foreign_names.py が生成する。手で編集せず、誤判定は
# dict/foreign-names/allow.csv (残す) と deny.csv (消す) に書いて再生成する。
# 規則の版: 1 / Unihan: 18.0.0
# 入力: ipadic.csv, ipadic-neologd.csv, ipadic-neologd-sudachi.csv
# 件数: 2391 (cn-compound-surname 21, cn-surname-on 381, deny-list 1, foreign-reading 197, kata-foreign 1791)
ウィリアム,ウィリアム,"名詞,固有名詞,人名,名"
ウィルフレド,ウィルフレド,"名詞,固有名詞,人名,名"
ウイリー,ウイリー,"名詞,固有名詞,人名,名"
ウェッケル,ウェッケル,"名詞,固有名詞,人名,名"
ウェンリン,ウェンリン,"名詞,固有名詞,人名,名"
ウォルフガング,ウォルフガング,"名詞,固有名詞,人名,名"
ウォン,ウォン,"名詞,固有名詞,人名,名"
ウォンス,ウォンス,"名詞,固有名詞,人名,名"
ウス,ウス,"名詞,固有名詞,人名,名"
ウスク,ウスク,"名詞,固有名詞,人名,名"
ウラジミル,ウラジミル,"名詞,固有名詞,人名,名"
ウラジーミル,ウラジーミル,"名詞,固有名詞,人名,名"
ウルリケ,ウルリケ,"名詞,固有名詞,人名,名"
ウンギョル,ウンギョル,"名詞,固有名詞,人名,名"
ウンギョン,ウンギョン,"名詞,固有名詞,人名,名"
エアロ,エアロ,"名詞,固有名詞,人名,名"
エイジーニョ,エイジーニョ,"名詞,固有名詞,人名,名"
エイトール,エイトール,"名詞,固有名詞,人名,名"
エイドリアン,エイドリアン,"名詞,固有名詞,人名,名"
エイル,エイル,"名詞,固有名詞,人名,名"
エカテリーナ,エカテリーナ,"名詞,固有名詞,人名,名"
エク,エク,"名詞,固有名詞,人名,名"
エジンニョ,エジンニョ,"名詞,固有名詞,人名,名"
エスター,エスター,"名詞,固有名詞,人名,名"
エスペル,エスペル,"名詞,固有名詞,人名,名"
エッロ,エッロ,"名詞,固有名詞,人名,名"
エド,エド,"名詞,固有名詞,人名,名"
エドアルド,エドアルド,"名詞,固有名詞,人名,名"
エドウィン,エドウィン,"名詞,固有名詞,人名,名"
エドワーズ,エドワーズ,"名詞,固有名詞,人名,名"
エドワード,エドワード,"名詞,固有名詞,人名,名"
エビー,エビー,"名詞,固有名詞,人名,名"
エブゲニー,エブゲニー,"名詞,固有名詞,人名,名"
エミリー,エミリー,"名詞,固有名詞,人名,名"
エライザ,エライザ,"名詞,固有名詞,人名,名"
エリアン,エリアン,"名詞,固有名詞,人名,名"
エリザ,エリザ,"名詞,固有名詞,人名,名"
エリザベス,エリザベス,"名詞,固有名詞,人名,名"
エリック,エリック,"名詞,固有名詞,人名,名"
エリース,エリース,"名詞,固有名詞,人名,名"
エルトン,エルトン,"名詞,固有名詞,人名,名"
エルビス,エルビス,"名詞,固有名詞,人名,名"
エレーヌ,エレーヌ,"名詞,固有名詞,人名,名"
オスカー,オスカー,"名詞,固有名詞,人名,名"
オセイ,オセイ,"名詞,固有名詞,人名,名"
オドネ,オドネ,"名詞,固有名詞,人名,名"
オラキオ,オラキオ,"名詞,固有名詞,人名,名"
オリザ,オリザ,"名詞,固有名詞,人名,名"
オリバー,オリバー,"名詞,固有名詞,人名,名"
オン,オン,"名詞,固有名詞,人名,名"
カウス,カウス,"名詞,固有名詞,人名,名"
カシアス,カシアス,"名詞,固有名詞,人名,名"
カタリン,カタリン,"名詞,固有名詞,人名,名"
カトリーヌ,カトリーヌ,"名詞,固有名詞,人名,名"
カニタ,カニタ,"名詞,固有名詞,人名,名"
カルナ,カルナ,"名詞,固有名詞,人名,名"
カルマ,カルマ,"名詞,固有名詞,人名,名"
カルラ,カルラ,"名詞,固有名詞,人名,名"
カルロス,カルロス,"名詞,固有名詞,人名,名"
カロリーナ,カロリーナ,"名詞,固有名詞,人名,名"
カロリーヌ,カロリーヌ,"名詞,固有名詞,人名,名"
カンジョ,カンジョ,"名詞,固有名詞,人名,名"
カーウァイ,カーウァイ,"名詞,固有名詞,人名,名"
カート,カート,"名詞,固有名詞,人名,名"
カーマン,カーマン,"名詞,固有名詞,人名,名"
カール,カール,"名詞,固有名詞,人名,名"
ガビー,ガビー,"名詞,固有名詞,人名,名"
ガブリエラ,ガブリエラ,"名詞,固有名詞,人名,名"
ガラシヤ,ガラシヤ,"名詞,固有名詞,人名,名"
ガリレオ,ガリレオ,"名詞,固有名詞,人名,名"
ガリン,ガリン,"名詞,固有名詞,人名,名"
ガル,ガル,"名詞,固有名詞,人名,名"
ガルシア,ガルシア,"名詞,固有名詞,人名,名"
ガークイ,ガークイ,"名詞,固有名詞,人名,名"
ガー・クイ,ガー・クイ,"名詞,固有名詞,人名,名"
キソク,キソク,"名詞,固有名詞,人名,名"
キドン,キドン,"名詞,固有名詞,人名,名"
キドンー,キドンー,"名詞,固有名詞,人名,名"
キャシー,キャシー,"名詞,固有名詞,人名,名"
キャリー,キャリー,"名詞,固有名詞,人名,名"
キャロル,キャロル,"名詞,固有名詞,人名,名"
キョンジン,キョンジン,"名詞,固有名詞,人名,名"
キョンスク,キョンスク,"名詞,固有名詞,人名,名"
